날짜,종가,거래량
2023-04-03,21350.0,879214.0
2023-04-04,21300.0,645286.0
2023-04-05,21150.0,571927.0
2023-04-06,20650.0,988329.0
2023-04-07,21100.0,543515.0
2023-04-10,20850.0,507189.0
2023-04-11,21200.0,526752.0
2023-04-12,21600.0,959109.0
2023-04-13,21300.0,699646.0
2023-04-14,21800.0,920138.0
2023-04-17,21950.0,671473.0
2023-04-18,21650.0,676855.0
2023-04-19,21850.0,608237.0
2023-04-20,21750.0,758968.0
2023-04-21,22300.0,825757.0
2023-04-24,21300.0,1084093.0
2023-04-25,21050.0,851635.0
2023-04-26,21200.0,484627.0
2023-04-27,21300.0,477108.0
2023-04-28,21600.0,943070.0
2023-05-02,20500.0,2765917.0
2023-05-03,20100.0,1859963.0
2023-05-04,20650.0,867370.0
2023-05-08,21600.0,1677301.0
2023-05-09,21550.0,655556.0
2023-05-10,20950.0,774236.0
2023-05-11,21700.0,1207123.0
2023-05-12,21100.0,504138.0
2023-05-15,21050.0,370464.0
2023-05-16,20800.0,459330.0
2023-05-17,20600.0,423965.0
2023-05-18,20900.0,371641.0
2023-05-19,21100.0,397589.0
2023-05-22,21500.0,670202.0
2023-05-23,21650.0,329997.0
2023-05-24,21750.0,528345.0
2023-05-25,21500.0,386381.0
2023-05-26,21150.0,397484.0
2023-05-30,21200.0,376116.0
2023-05-31,20750.0,746071.0
2023-06-01,20750.0,326185.0
2023-06-02,20850.0,367687.0
2023-06-05,21300.0,399663.0
2023-06-07,21250.0,420623.0
2023-06-08,21300.0,512571.0
2023-06-09,21400.0,426288.0
2023-06-12,21400.0,331519.0
2023-06-13,21550.0,740272.0
2023-06-14,21400.0,540907.0
2023-06-15,21050.0,516708.0
2023-06-16,21200.0,474815.0
2023-06-19,21750.0,721685.0
2023-06-20,21050.0,602401.0
2023-06-21,20800.0,564457.0
2023-06-22,20700.0,581175.0
2023-06-23,20050.0,994382.0
2023-06-26,20200.0,553310.0
2023-06-27,20200.0,330955.0
2023-06-28,20200.0,343692.0
2023-06-29,18600.0,3375403.0
2023-06-30,18640.0,1278914.0
2023-07-03,19020.0,749529.0
2023-07-04,18830.0,577300.0
2023-07-05,18030.0,1825761.0
2023-07-06,14520.0,9290211.0
2023-07-07,13750.0,5382930.0
2023-07-10,14120.0,3836687.0
2023-07-11,14460.0,2349805.0
2023-07-12,14220.0,1749897.0
2023-07-13,14250.0,2323019.0
2023-07-14,14170.0,1808910.0
2023-07-17,14900.0,3213649.0
2023-07-18,14480.0,1559195.0
2023-07-19,14550.0,1054784.0
2023-07-20,14310.0,1085625.0
2023-07-21,14330.0,1002944.0
2023-07-24,14110.0,938386.0
2023-07-25,14410.0,1361931.0
2023-07-26,13980.0,1935171.0
2023-07-27,13960.0,1541496.0
2023-07-28,14100.0,947685.0
2023-07-31,14610.0,1951048.0
2023-08-01,14510.0,1309695.0
2023-08-02,14480.0,883218.0
2023-08-03,14340.0,860086.0
2023-08-04,14310.0,472846.0
2023-08-07,14190.0,539975.0
2023-08-08,13990.0,828956.0
2023-08-09,14020.0,592627.0
2023-08-10,14190.0,1039913.0
2023-08-11,14320.0,751917.0
2023-08-14,14290.0,456214.0
2023-08-16,14000.0,603893.0
2023-08-17,13830.0,729967.0
2023-08-18,13800.0,525448.0
2023-08-21,13810.0,504355.0
2023-08-22,13870.0,605265.0
2023-08-23,13940.0,668796.0
2023-08-24,14120.0,476215.0
2023-08-25,14000.0,347147.0
2023-08-28,14480.0,3145357.0
2023-08-29,14740.0,1250629.0
2023-08-30,14510.0,591438.0
2023-08-31,14530.0,569984.0
2023-09-01,14420.0,613348.0
